0,[1694608371.110729]
1,[1694608226.3322957]
2,[]
3,[1694608287.3397353]
4,[]
5,[1694608351.3289628]
6,[]
touch,"[1694608179.0384052, 1694608186.7357254, 1694608188.0106225, 1694608189.6974678, 1694608192.895846, 1694608194.1307049, 1694608195.5460887, 1694608196.5476787, 1694608197.5501792, 1694608198.5560067, 1694608199.6193361, 1694608200.6396127, 1694608203.6925633, 1694608208.2589054, 1694608222.465899, 1694608223.6907012, 1694608229.439939, 1694608233.7560294, 1694608234.8238075, 1694608236.2158144, 1694608237.2482972, 1694608238.3688982, 1694608239.6078537, 1694608240.9503937, 1694608242.1217139, 1694608244.077871, 1694608245.1229484, 1694608246.6669333, 1694608247.6673028, 1694608249.0578547, 1694608251.6327064, 1694608252.6328142, 1694608254.9071257, 1694608256.0078177, 1694608257.5880575, 1694608258.618618, 1694608260.0434954, 1694608261.0450885, 1694608262.5218015, 1694608266.2649634, 1694608271.1150656, 1694608289.3459377, 1694608290.5865057, 1694608291.9596775, 1694608295.786123, 1694608299.1928344, 1694608300.2093625, 1694608301.3506427, 1694608303.551839, 1694608306.146778, 1694608307.152936, 1694608308.1686852, 1694608309.1741135, 1694608310.1748002, 1694608311.5072174, 1694608312.770763, 1694608313.8484066, 1694608315.790565, 1694608316.907565, 1694608317.907881, 1694608323.053602, 1694608324.2755008, 1694608325.489019, 1694608326.7607455, 1694608327.7614658, 1694608345.4269934, 1694608346.861456, 1694608358.3889577, 1694608360.616103, 1694608362.4237778]"
