0,[1694443636.9998388]
1,"[1694443631.3662906, 1694443638.9819348]"
2,[]
3,[1694443643.5753033]
4,[1694443642.9421625]
5,"[1694443632.2848058, 1694443640.370503]"
6,[1694443638.4817176]
touch,"[1694443583.0875738, 1694443595.6183243, 1694443609.417484, 1694443624.1365376, 1694443626.9023492, 1694443628.612677, 1694443630.3781438, 1694443631.6875749, 1694443632.7309206, 1694443634.2453136, 1694443637.7111027, 1694443642.0468915]"
