0,[1694446448.3831575]
1,"[1694446386.05296, 1694446402.6592593]"
2,[]
3,[1694446437.4888673]
4,[]
5,[]
6,[]
touch,"[1694446356.3879237, 1694446360.723626, 1694446362.3227968, 1694446364.0620441, 1694446365.3208954, 1694446368.8795702, 1694446391.4498036, 1694446395.3507879, 1694446398.3747172, 1694446399.4649382, 1694446410.751302, 1694446443.2714727]"
