0,[]
1,"[1694539008.2116327, 1694539098.5295544]"
2,[]
3,[1694539238.1963582]
4,[]
5,[]
6,[1694539273.9040983]
touch,"[1694538922.5453575, 1694538949.5833955, 1694538961.0264692, 1694538963.7409537, 1694538966.0336292, 1694538971.6316025, 1694538975.5585577, 1694538978.8775208, 1694539059.4534838, 1694539060.7650716, 1694539066.6495302, 1694539069.6220808, 1694539072.5492232, 1694539075.4273229, 1694539076.5991468, 1694539078.1638937, 1694539082.9931877, 1694539087.961119, 1694539095.71449, 1694539097.0353358, 1694539099.1957579, 1694539101.04997, 1694539105.9544733, 1694539110.7774134, 1694539112.1427586, 1694539113.205821, 1694539114.6517289, 1694539115.6552174, 1694539118.3702526, 1694539121.7898576, 1694539124.7383127, 1694539131.820611, 1694539133.0881429, 1694539134.8844016, 1694539141.785271, 1694539144.6335237, 1694539148.4191356, 1694539151.2875369, 1694539188.6837978, 1694539240.460083, 1694539244.8301513, 1694539272.92982]"
