0,[1694594732.187202]
1,"[1694594582.229902, 1694594632.5075274]"
2,[]
3,[1694594660.339551]
4,[]
5,[]
6,[]
touch,"[1694594475.0666618, 1694594477.7522285, 1694594483.192855, 1694594485.6895733, 1694594488.4492943, 1694594491.8486195, 1694594493.8130677, 1694594497.371692, 1694594574.3100648, 1694594579.1567278, 1694594580.2286866, 1694594585.7928817, 1694594594.6334965, 1694594596.5148573, 1694594600.3431776, 1694594603.9908428, 1694594606.9982326, 1694594639.6617253, 1694594649.0700052, 1694594674.439056, 1694594676.226587, 1694594679.48264, 1694594680.743245, 1694594683.9568913, 1694594686.6507466, 1694594689.3012812, 1694594690.30172, 1694594692.2415276, 1694594694.1869884, 1694594695.4661798]"
