0,[1694516210.7874746]
1,[1694516164.3747141]
2,"[1694516140.144945, 1694516297.69481]"
3,[]
4,"[1694516146.752568, 1694516322.0464902]"
5,[1694516202.248218]
6,[1694516132.2213423]
touch,"[1694516131.394406, 1694516135.610871, 1694516141.0779078, 1694516142.1058316, 1694516143.49046, 1694516174.2165906, 1694516178.2296596, 1694516184.5787635, 1694516189.7111728, 1694516206.0910153, 1694516209.8715181, 1694516230.0224996, 1694516244.9935708, 1694516254.2364523, 1694516263.16962, 1694516265.8669083, 1694516293.482628, 1694516294.978719, 1694516296.0360985, 1694516305.2396886]"
