0,[1694514369.817769]
1,[1694514156.547231]
2,[]
3,[1694514243.1164074]
4,[]
5,[1694514352.7826037]
6,[]
touch,"[1694514120.5056338, 1694514124.9853501, 1694514150.2695365, 1694514152.023432, 1694514153.2054775, 1694514157.4963353, 1694514158.502099, 1694514162.0064394, 1694514165.9862764, 1694514167.7809377, 1694514169.2974055, 1694514174.592336, 1694514176.4963915, 1694514183.4222965, 1694514186.0733016, 1694514188.005238, 1694514215.5373223, 1694514229.923826, 1694514249.2994692, 1694514255.684048, 1694514344.6201422, 1694514354.4683824, 1694514367.0153978]"
