0,[1694505665.3185499]
1,[1694505506.751299]
2,[]
3,[1694505579.1094644]
4,[]
5,[1694505641.4241176]
6,[]
touch,"[1694505481.951962, 1694505484.0493093, 1694505488.414281, 1694505516.4491534, 1694505517.4897122, 1694505521.3075333, 1694505522.6930606, 1694505524.2296512, 1694505526.1641014, 1694505527.1824617, 1694505533.8021772, 1694505541.376902, 1694505542.431239, 1694505546.1971607, 1694505547.7916617, 1694505560.412528, 1694505581.90038, 1694505585.8983881, 1694505587.039072, 1694505592.3122945, 1694505593.6588967, 1694505598.7875586, 1694505600.5210228, 1694505604.310727, 1694505621.9146996, 1694505622.915315, 1694505624.0654, 1694505625.7530673, 1694505626.9750714]"
