0,[]
1,[1694534339.348462]
2,[]
3,[1694534433.352402]
4,[]
5,[]
6,[]
touch,"[1694534197.9796925, 1694534205.309588, 1694534206.5693598, 1694534213.0636814, 1694534214.4766066, 1694534239.3213058, 1694534244.9214005, 1694534246.351421, 1694534248.0566814, 1694534252.0479429, 1694534258.8631604, 1694534260.3290703, 1694534264.1455605, 1694534268.4399524, 1694534269.5405266, 1694534274.0103593, 1694534275.5433614, 1694534281.6284716, 1694534293.7754197, 1694534295.131641, 1694534296.3114161, 1694534298.031952, 1694534309.0045574, 1694534313.6093895, 1694534315.7758675, 1694534318.0955508, 1694534319.8208466, 1694534321.394778, 1694534322.7182686, 1694534326.9036942, 1694534340.451717, 1694534343.290339, 1694534375.3248851, 1694534384.3135266, 1694534397.5390303, 1694534398.539395, 1694534399.5410979, 1694534400.98612, 1694534403.2627606, 1694534404.2695806, 1694534406.7273088, 1694534407.8408883, 1694534439.5911903, 1694534456.8145473, 1694534459.4887266]"
