0,[1694508096.3198867]
1,[1694507948.9439144]
2,[]
3,[1694507998.309727]
4,[]
5,[1694508026.213633]
6,[]
touch,"[1694507904.327554, 1694507906.0985172, 1694507907.4279113, 1694507914.0589793, 1694507926.790539, 1694507952.8364923, 1694507960.205521, 1694507963.5835497, 1694507965.701367, 1694507966.9298487, 1694507969.544368, 1694507971.2798169, 1694507973.0543652, 1694507977.6705284, 1694507980.0817683, 1694507982.729596, 1694507989.4454613, 1694507992.75428, 1694508007.996397, 1694508047.2005367, 1694508048.6588345, 1694508057.6155663, 1694508062.0496309, 1694508087.595709, 1694508092.3061955]"
