0,[1694445889.288736]
1,[1694445812.9195805]
2,[]
3,[1694445901.3397322]
4,[]
5,"[1694445878.2912803, 1694445891.3480828]"
6,"[1694445811.4456115, 1694445819.5409858]"
touch,"[1694445707.6781404, 1694445714.3326797, 1694445721.9181042, 1694445747.9985616, 1694445753.0359416, 1694445796.1317813, 1694445801.5772676, 1694445828.012682, 1694445833.9807284, 1694445841.7444828, 1694445845.9143634, 1694445850.8119717]"
