0,[1694517020.1570652]
1,"[1694516939.9586334, 1694516944.6331363]"
2,[]
3,[1694516956.2768185]
4,[]
5,[1694516988.302517]
6,[]
touch,"[1694516773.88612, 1694516775.8739305, 1694516848.7456033, 1694516850.5148487, 1694516853.299865, 1694516866.9026365, 1694516896.7268867, 1694516898.9032843, 1694516916.824889, 1694516924.5252855, 1694516935.9561512, 1694516939.0396879, 1694516941.4426322, 1694516967.050453, 1694516975.1895928, 1694516999.3462691]"
