0,[1694621521.5748906]
1,[1694621423.2997193]
2,[]
3,[1694621474.2846496]
4,[]
5,[1694621510.5270796]
6,[]
touch,"[1694621378.579495, 1694621390.1514869, 1694621391.460018, 1694621395.0820382, 1694621418.2992592, 1694621432.9966896, 1694621436.25047, 1694621440.485686, 1694621444.8237977, 1694621446.3554468, 1694621448.1791446, 1694621451.5082653, 1694621455.1925678, 1694621456.2529628, 1694621458.2099073, 1694621464.415596, 1694621476.7935448, 1694621481.2881658, 1694621482.427644, 1694621483.8569994, 1694621504.7251804, 1694621513.5547094, 1694621516.665956]"
