0,[1694620185.3518045]
1,[1694620018.612707]
2,[]
3,[1694620069.214614]
4,[]
5,[]
6,[]
touch,"[1694619975.750763, 1694619976.9691806, 1694619986.2132914, 1694619989.8122935, 1694619990.9318366, 1694619992.2236063, 1694619994.850917, 1694620008.1876101, 1694620011.2869425, 1694620020.01387, 1694620022.4166849, 1694620026.4198718, 1694620028.0182803, 1694620029.441345, 1694620031.0484512, 1694620032.5605206, 1694620033.5624053, 1694620034.5668502, 1694620035.5707922, 1694620036.571518, 1694620038.3248036, 1694620041.3675063, 1694620043.4603837, 1694620045.0774286, 1694620046.3825512, 1694620049.3387496, 1694620051.4303043, 1694620059.499137, 1694620080.8356338, 1694620081.839862, 1694620082.8915076, 1694620084.838634, 1694620086.0325575, 1694620087.1292005, 1694620088.3844543, 1694620090.844964, 1694620092.2007685, 1694620093.441524, 1694620094.604213, 1694620096.9217432, 1694620098.1860147, 1694620100.4869535, 1694620101.5143096, 1694620103.3582861, 1694620104.464822, 1694620106.283296]"
