0,[1694619741.8743036]
1,[1694619611.0689387]
2,[]
3,[1694619657.331975]
4,[]
5,[1694619708.765811]
6,[]
touch,"[1694619491.0543194, 1694619492.4040973, 1694619493.9388824, 1694619496.0951433, 1694619497.0968442, 1694619498.0989773, 1694619499.927964, 1694619502.5903049, 1694619503.5935912, 1694619504.614314, 1694619505.6400704, 1694619506.913069, 1694619508.0571811, 1694619509.05726, 1694619510.4572682, 1694619511.915284, 1694619514.2052732, 1694619520.8456092, 1694619524.5721004, 1694619528.9411097, 1694619536.753974, 1694619539.787102, 1694619540.7877808, 1694619543.9045901, 1694619549.4384398, 1694619559.0585492, 1694619560.0601583, 1694619562.2471948, 1694619570.783617, 1694619572.4629824, 1694619575.0597157, 1694619588.2706163, 1694619592.6719718, 1694619594.3579185, 1694619595.7363539, 1694619597.7915325, 1694619598.9671488, 1694619602.5470364, 1694619612.435423, 1694619613.4354787, 1694619614.7979376, 1694619617.49762, 1694619618.512458, 1694619621.078578, 1694619622.188522, 1694619623.3524277, 1694619626.3982763, 1694619628.0177567, 1694619629.2952182, 1694619630.7954617, 1694619634.045164, 1694619635.4955456, 1694619637.3121543, 1694619638.533386, 1694619639.5359633, 1694619640.8400948, 1694619642.7704914, 1694619644.4097598, 1694619645.5055861, 1694619649.9268467, 1694619664.6660109, 1694619666.8731985, 1694619667.8888192, 1694619669.9524395, 1694619674.1979952, 1694619675.5293865, 1694619677.4784422, 1694619679.2405078, 1694619680.4755552, 1694619681.7737234, 1694619684.3809087, 1694619689.5662792, 1694619690.5686908, 1694619711.8651927]"
