0,[]
1,"[1694425207.672995, 1694425231.9259696, 1694425239.9246306]"
2,[1694425226.6838446]
3,"[1694425230.1936138, 1694425236.2623808, 1694425244.2075002]"
4,"[1694425214.9636385, 1694425228.898513]"
5,[]
6,"[1694425231.94353, 1694425238.1425023, 1694425244.2025876]"
touch,[]
