0,[]
1,[1694448489.133914]
2,"[1694448371.4242828, 1694448414.7775779, 1694448508.7876685]"
3,"[1694448366.8607965, 1694448420.0319355]"
4,[1694448368.6921978]
5,[]
6,"[1694448347.54661, 1694448403.6481073]"
touch,"[1694448334.8094692, 1694448343.997408, 1694448383.8705366, 1694448384.9378006, 1694448422.9028027, 1694448429.1548517, 1694448447.2442124, 1694448449.4899635, 1694448491.2654035, 1694448493.4868288, 1694448498.1093552, 1694448502.550657, 1694448505.2369308, 1694448506.3554099, 1694448508.3016064]"
