0,[1694513754.6083512]
1,[1694513664.4966743]
2,[]
3,[1694513715.971247]
4,[]
5,[1694513749.5958438]
6,"[1694513644.9536586, 1694513686.0976815]"
touch,"[1694513606.5296419, 1694513608.984104, 1694513610.067594, 1694513612.5213406, 1694513620.5695667, 1694513622.2886765, 1694513642.1973534, 1694513645.1578882, 1694513671.0211349, 1694513672.0961716, 1694513675.239135, 1694513676.995341, 1694513679.4380662, 1694513682.5447998, 1694513685.0299675, 1694513687.245382, 1694513690.0836837, 1694513694.5985103, 1694513700.7173607, 1694513710.844992, 1694513720.8052123, 1694513722.9841635, 1694513724.1519468, 1694513725.1524026, 1694513727.9838338]"
