0,[1694451328.0605094]
1,[1694451253.5036464]
2,[]
3,[1694451377.8976376]
4,[]
5,"[1694451308.5073109, 1694451366.3311474]"
6,[]
touch,"[1694451147.9242754, 1694451148.963435, 1694451150.1977925, 1694451162.679321, 1694451182.8896, 1694451201.213024, 1694451221.7922165, 1694451224.2636182, 1694451258.7405066, 1694451262.1105633, 1694451263.113692, 1694451269.2871819, 1694451270.5038607, 1694451271.9091744, 1694451275.0650158, 1694451277.4211085, 1694451278.4773088, 1694451279.5288472, 1694451281.0909858, 1694451282.786676, 1694451284.9003088, 1694451286.0350537, 1694451287.5473986, 1694451357.6886415, 1694451371.185038]"
