0,[1694595940.632045]
1,[1694596043.0291486]
2,[]
3,[1694595996.0284233]
4,[]
5,[]
6,[]
touch,"[1694595821.402823, 1694595823.8425426, 1694595830.3045459, 1694595831.8594375, 1694595833.242216, 1694595834.3900414, 1694595842.8818817, 1694595846.84333, 1694595868.5757158, 1694595873.4810524, 1694595876.1247473, 1694595882.478642, 1694595902.4408193, 1694595914.099671, 1694595929.3699546, 1694595933.9011493, 1694595952.6387982, 1694595954.4197142, 1694595958.3985126, 1694595959.4012852, 1694595960.4523354, 1694595961.8102906, 1694595962.9310184, 1694595971.1423435, 1694595975.4171104, 1694595976.9443736, 1694595978.665184, 1694596006.2638726]"
