0,[1694511572.8403316]
1,[]
2,"[1694511500.6506188, 1694511526.171255]"
3,"[1694511496.6872005, 1694511513.03024, 1694511516.3891082]"
4,"[1694511498.6800823, 1694511522.9837427]"
5,[1694511565.4201071]
6,"[1694511470.1365435, 1694511479.9222639, 1694511505.8314235]"
touch,"[1694511445.614211, 1694511447.0059018, 1694511449.988055, 1694511451.6002116, 1694511452.8901875, 1694511454.6442063, 1694511458.5782602, 1694511462.7863734, 1694511498.704919, 1694511503.2752142, 1694511505.163329, 1694511509.0753205, 1694511516.1451857, 1694511517.95621, 1694511518.9571235, 1694511520.3372288, 1694511522.7365887, 1694511537.6143293, 1694511543.4340296, 1694511544.82816, 1694511574.1148827, 1694511576.4336448]"
