0,[1694622778.927842]
1,[1694622644.1672]
2,[]
3,[1694622714.275695]
4,[]
5,[]
6,[]
touch,"[1694622587.0634062, 1694622588.6237135, 1694622595.1546068, 1694622596.1586888, 1694622600.7490296, 1694622601.752471, 1694622604.7892811, 1694622624.923568, 1694622650.9468458, 1694622652.454359, 1694622656.1114335, 1694622658.1785848, 1694622664.420732, 1694622668.6190884, 1694622673.693841, 1694622676.5928578, 1694622679.0675633, 1694622680.3578308, 1694622687.7946768, 1694622690.1962721, 1694622691.6362388, 1694622714.3075867, 1694622715.7159314, 1694622722.216838, 1694622725.216485, 1694622726.350788, 1694622730.6238873, 1694622731.8067527, 1694622732.9946442, 1694622735.2696784, 1694622746.834263, 1694622749.945787, 1694622767.7320316]"
