0,[1694598472.5188336]
1,"[1694598394.7474337, 1694598404.9214883]"
2,[]
3,"[1694598430.9416883, 1694598445.0399034]"
4,[]
5,[1694598461.6439755]
6,[]
touch,"[1694598274.299293, 1694598277.540542, 1694598283.9490235, 1694598285.5111978, 1694598290.6491833, 1694598291.7317312, 1694598292.9447186, 1694598295.0139866, 1694598296.0142539, 1694598298.7473054, 1694598311.625512, 1694598331.3729181, 1694598344.2328146, 1694598346.4821217, 1694598351.0370085, 1694598355.7092454, 1694598357.5142255, 1694598359.0116298, 1694598360.0127492, 1694598364.5741737, 1694598365.6720443, 1694598381.7435362, 1694598382.891865, 1694598408.1731594, 1694598419.3325555, 1694598422.5574098, 1694598425.5701356, 1694598427.6781614, 1694598429.231353, 1694598430.4737122, 1694598431.8293908, 1694598435.1877928, 1694598466.4556332]"
