0,[]
1,[]
2,[1694533771.2984962]
3,[1694533761.016705]
4,[]
5,[]
6,"[1694533750.3243423, 1694533760.9859042, 1694533771.2919023]"
touch,"[1694533712.3721852, 1694533713.557348, 1694533714.8223186, 1694533718.3023372, 1694533723.915229, 1694533725.7372944, 1694533726.851171, 1694533730.1750782, 1694533731.8442962, 1694533732.8460093, 1694533734.5821023, 1694533735.8624785, 1694533738.0852585, 1694533739.7428563, 1694533745.913673, 1694533752.1010513, 1694533757.7506096, 1694533762.3846319, 1694533765.2359953]"
