0,[]
1,[1694538095.7805352]
2,[]
3,[]
4,[]
5,[1694538156.8055844]
6,[]
touch,"[1694537893.5695918, 1694537897.4894521, 1694537900.2522478, 1694537904.9156363, 1694537906.272378, 1694537909.7677615, 1694537912.6360173, 1694537914.0943568, 1694537920.8428202, 1694537940.5425124, 1694537976.7966115, 1694538010.4696436, 1694538017.3706946, 1694538060.043361, 1694538062.4539452, 1694538063.4572642, 1694538070.6871312, 1694538079.1136904, 1694538080.6380212, 1694538081.7832425, 1694538082.7860482, 1694538124.6132705, 1694538128.277187, 1694538130.528234, 1694538132.883939, 1694538134.692942, 1694538140.849727, 1694538172.7650857]"
