0,[1694610376.6589103]
1,[]
2,[]
3,[1694610326.5000372]
4,[]
5,[1694610359.796375]
6,[1694610272.7287645]
touch,"[1694610128.7516928, 1694610130.2515006, 1694610131.6634104, 1694610132.7703946, 1694610182.9650865, 1694610184.5397294, 1694610195.29201, 1694610201.6073291, 1694610204.0347192, 1694610210.0170407, 1694610228.0829358, 1694610230.231389, 1694610238.6356452, 1694610254.9893131, 1694610256.9242897, 1694610258.2665188, 1694610259.7893643, 1694610262.3258083, 1694610265.006827, 1694610266.156819, 1694610267.404865, 1694610269.4472163, 1694610278.0764766, 1694610283.3715768, 1694610284.4469352, 1694610285.4909263, 1694610286.8142855, 1694610288.3188832, 1694610291.2247097, 1694610316.3155758, 1694610331.603167, 1694610337.0972316, 1694610339.039087, 1694610340.5480213, 1694610341.7497995, 1694610345.148966, 1694610346.2869604, 1694610380.2129576, 1694610384.2746816]"
