0,[1694539739.7859554]
1,[1694539783.9619365]
2,[]
3,[1694539688.171402]
4,[]
5,[1694539719.7090175]
6,[]
touch,"[1694539530.4715586, 1694539540.0346591, 1694539549.9215908, 1694539556.299215, 1694539559.0460665, 1694539569.4689405, 1694539571.3411458, 1694539572.6436281, 1694539619.1903126, 1694539621.714727, 1694539623.2634158, 1694539627.3435688, 1694539628.7447493, 1694539630.2244737, 1694539637.5745933, 1694539655.7730446, 1694539699.2584522, 1694539703.4643486, 1694539704.843242, 1694539707.1676044, 1694539708.4763238, 1694539741.2184846, 1694539745.4700153, 1694539749.3125606, 1694539755.5630538, 1694539757.7751718, 1694539760.3300886, 1694539767.2013206, 1694539768.2027316, 1694539769.4776251, 1694539770.7184856, 1694539772.0614338, 1694539773.0624638, 1694539774.0693328, 1694539775.1765249]"
