0,[1694614780.6067395]
1,[1694614680.7731159]
2,[]
3,[1694614727.27299]
4,[]
5,[1694614761.4319017]
6,[]
touch,"[1694614589.119963, 1694614591.995914, 1694614596.770552, 1694614600.9037013, 1694614607.9873772, 1694614621.912754, 1694614623.0207858, 1694614629.75432, 1694614668.598963, 1694614681.9094968, 1694614686.86854, 1694614688.3530097, 1694614689.3732119, 1694614690.3747084, 1694614697.8239472, 1694614698.8598819, 1694614700.3502014, 1694614701.6454816, 1694614705.5038593, 1694614713.6718547, 1694614717.161746, 1694614718.9215224, 1694614729.6238644, 1694614731.6174712, 1694614737.2993631, 1694614741.6358814, 1694614747.6878324, 1694614749.7349584, 1694614753.5157616, 1694614755.0181496, 1694614774.671551]"
